,max,average,median
aback,1108,529.9429237041351,348.0
abase,557,208.67559697146186,165.0
abate,571,211.33197437390797,198.0
abbey,376,200.79499126383226,181.0
abbot,484,233.306348281887,219.0
abhor,292,126.65637740244613,96.0
abide,216,102.71811298776936,94.0
abled,288,111.57425742574257,74.0
abode,229,104.07280139778683,88.0
abort,261,100.07513104251602,60.0
about,282,129.48922539312755,89.0
above,256,129.41584158415841,106.0
abuse,200,93.40186371578335,69.0
abyss,742,336.6371578334304,185.0
acorn,248,93.30984274898078,57.0
acrid,264,108.22888759464182,68.0
actor,232,84.69598136284216,63.0
acute,180,78.90564938846826,61.0
adage,689,269.7157833430402,226.0
adapt,828,331.41234711706466,209.0
adept,227,102.17880023296448,67.0
admin,363,160.21258008153757,99.0
admit,331,138.72976121141525,83.0
adobe,229,104.4059405940594,88.0
adopt,300,123.91671520093186,76.0
adore,191,70.68433313919627,55.0
adorn,247,101.80139778683751,76.0
adult,289,109.6266744321491,91.0
affix,667,421.3412929528247,488.0
afire,175,76.79732090856145,71.0
afoot,686,288.2283051834595,157.0
afoul,277,132.33721607454862,100.0
after,231,86.42108328479907,71.0
again,849,330.2259755387303,178.0
agape,679,271.69656377402447,210.0
agate,561,206.30110658124636,192.0
agent,230,94.09376820034944,63.0
agile,198,80.66686080372743,53.0
aging,514,253.899242865463,161.0
aglow,380,170.0308677926616,130.0
agony,347,146.61910308677926,87.0
agree,567,206.09609784507862,103.0
ahead,627,265.49912638322655,147.0
aider,165,72.3185789167152,65.0
aisle,144,56.21258008153757,48.0
alarm,595,250.71228887594643,180.0
album,445,188.32556785090273,117.0
alert,158,56.21840419336051,43.0
algae,576,213.8549796156086,186.0
alibi,699,285.63308095515436,145.0
alien,166,62.09493302271404,43.0
align,327,123.03960396039604,95.0
alike,202,83.90273733255678,51.0
alive,229,91.9889341875364,62.0
allay,1399,647.8532323820617,473.0
alley,376,172.00757134536983,167.0
allot,484,191.41467676179383,109.0
allow,623,296.76295864880603,262.0
alloy,529,236.37682003494467,132.0
aloft,294,112.31741409435061,80.0
alone,143,59.48806057076296,40.0
along,305,118.11473500291206,81.0
aloof,710,292.68433313919627,181.0
aloud,252,111.17355853232382,88.0
alpha,838,351.38089691322074,264.0
altar,456,173.7029702970297,108.0
alter,158,54.23354688410017,43.0
amass,1498,703.1374490390216,494.0
amaze,785,357.2335468841002,288.0
amber,275,110.08561444379733,81.0
amble,290,115.10133954571928,64.0
amend,265,114.57833430401864,63.0
amiss,585,260.01863715783344,146.0
amity,312,128.78334304018637,94.0
among,387,167.7897495631916,85.0
ample,274,105.94234129295282,63.0
amply,464,187.8456610366919,107.0
amuse,204,92.76004659289458,69.0
angel,241,90.40011648223646,74.0
anger,229,85.74315666860804,71.0
angle,241,89.2085032032615,60.0
angry,300,131.65346534653466,100.0
angst,323,116.38846825859056,60.0
anime,181,82.79848573092603,75.0
ankle,242,93.61968549796156,62.0
annex,528,263.3179965055329,319.0
annoy,529,249.04018637157833,248.0
annul,555,233.2207338380897,153.0
anode,190,80.2090856144438,61.0
antic,279,108.25101921956902,87.0
anvil,347,142.56785090273732,108.0
aorta,553,187.43098427489807,117.0
apart,652,243.08211997670355,112.0
aphid,359,166.16016307513104,101.0
aping,369,159.70937682003495,88.0
apnea,566,218.4152591729761,155.0
apple,393,165.5602795573675,91.0
apply,631,286.75888177052997,165.0
apron,243,100.44088526499709,100.0
aptly,336,128.96156086196854,92.0
arbor,603,262.6488060570763,149.0
ardor,560,238.61269656377402,144.0
arena,450,157.28887594641816,102.0
argue,191,84.12288875946417,66.0
arise,113,47.434478741991846,42.0
armor,596,254.72568433313918,146.0
aroma,689,254.33372160745486,171.0
arose,142,50.799650553290626,35.0
array,1399,568.4187536400699,348.0
arrow,623,279.80489225393126,262.0
arson,200,73.29702970297029,78.0
artsy,217,77.20151426907397,73.0
ascot,252,98.53989516598719,73.0
ashen,196,82.5154338963308,67.0
aside,156,74.56435643564356,63.0
askew,297,138.4478741991846,123.0
assay,1399,643.608619685498,401.0
asset,367,147.52475247524754,111.0
atoll,484,194.1322073383809,120.0
atone,153,61.490390215492134,53.0
attic,541,243.19569015725102,135.0
audio,330,136.88351776354105,151.0
audit,279,117.99359347699476,72.0
augur,567,246.94874781595806,247.0
aunty,289,116.3197437390798,80.0
avail,827,336.1892836342458,250.0
avert,253,93.94700058241118,69.0
avian,890,362.00757134536985,205.0
avoid,339,165.87361677344205,124.0
await,807,308.7757716948165,205.0
awake,757,327.4839836924869,284.0
award,869,368.9435061153174,316.0
aware,599,214.42516016307513,178.0
awash,965,410.6144437973209,265.0
awful,430,200.76004659289458,164.0
awoke,229,122.3290623179965,117.0
axial,875,372.38788584740826,268.0
axiom,363,193.97379149679674,230.0
axion,335,160.1193942923704,126.0
azure,228,105.64997087944089,86.0
bacon,354,134.68666278392544,106.0
badge,325,132.4839836924869,92.0
badly,469,180.1426907396622,94.0
bagel,290,109.77460687245195,84.0
baggy,742,372.9976703552708,347.0
baker,284,109.70122306348281,87.0
baler,228,76.88118811881188,63.0
balmy,497,198.3080955154339,105.0
banal,777,304.97437390797904,177.0
banjo,440,203.6033779848573,218.0
barge,270,95.93651718112987,79.0
baron,265,98.7239370995923,85.0
basal,732,288.68841001747234,153.0
basic,290,118.65637740244613,104.0
basil,280,102.99883517763541,82.0
basin,284,107.44379732090856,88.0
basis,586,249.79499126383226,181.0
baste,214,77.4717530576587,55.0
batch,442,169.1968549796156,99.0
bathe,250,97.71986022131625,73.0
baton,307,113.53465346534654,87.0
batty,742,321.57483983692487,198.0
bawdy,551,250.6377402446127,118.0
bayou,313,149.65346534653466,155.0
beach,291,123.05241700640653,87.0
beady,279,127.93535235876529,108.0
beard,270,96.96272568433314,69.0
beast,214,78.05649388468258,57.0
beech,1027,422.87012230634826,173.0
beefy,1109,490.28130460104836,464.0
befit,342,145.2085032032615,93.0
began,300,130.00291205591148,74.0
begat,262,114.25334886429819,68.0
beget,917,355.7437390797903,153.0
begin,358,149.834012813046,82.0
begun,407,177.34478741991848,102.0
being,358,147.44729178800233,66.0
belch,369,150.9662201514269,80.0
belie,777,272.5282469423413,153.0
belle,1515,663.7647058823529,341.0
belly,600,305.17996505532903,204.0
below,337,149.34478741991848,129.0
bench,367,154.36866627839254,89.0
beret,679,243.3191613278975,151.0
berry,600,284.8870122306348,182.0
berth,318,117.60104834012813,103.0
beset,772,271.7524752475247,139.0
betel,743,270.9254513686663,258.0
bevel,1016,439.4752475247525,300.0
bezel,1078,483.15958066394876,314.0
bible,451,188.76121141525917,148.0
bicep,329,136.64472917880022,92.0
biddy,853,439.7903319743739,267.0
bigot,434,166.83925451368665,130.0
bilge,332,128.58532323820617,102.0
billy,853,386.703552708212,207.0
binge,358,142.185789167152,76.0
bingo,496,205.5369831100757,161.0
biome,252,115.1316249271986,110.0
birch,422,168.3488642981945,74.0
birth,370,141.45428072218988,71.0
bison,358,133.74781595806638,100.0
bitty,853,381.83110075713455,215.0
black,509,203.52999417588816,88.0
blade,288,100.8683750728014,59.0
blame,290,108.26150262085032,75.0
bland,394,140.36517181129878,94.0
blank,446,171.8153756552126,129.0
blare,228,73.49854397204426,46.0
blast,312,103.65579499126383,52.0
blaze,341,140.3197437390798,93.0
bleak,302,142.72160745486315,111.0
bleat,213,90.99417588817705,59.0
bleed,903,356.40943506115315,141.0
bleep,910,360.55387303436225,226.0
blend,342,134.82644146767618,92.0
bless,593,252.76354105998834,156.0
blimp,543,224.68666278392544,103.0
blind,479,179.13628421665695,71.0
blink,507,202.96971461852067,125.0
bliss,777,307.73092603377984,199.0
blitz,518,220.84391380314503,176.0
bloat,296,107.02446126965637,69.0
block,546,228.06930693069307,157.0
bloke,318,132.62958648806057,104.0
blond,454,170.61094933022713,117.0
blood,903,405.51019219569014,168.0
bloom,939,435.64589400116483,279.0
blown,496,203.7897495631916,131.0
bluer,275,101.61153174140944,76.0
bluff,865,458.49213744903903,257.0
blunt,382,146.92079207920793,152.0
blurb,536,265.7897495631916,228.0
blurt,308,126.24635993011066,67.0
blush,467,182.30460104834012,95.0
board,320,117.75713453698312,74.0
boast,292,98.32090856144438,79.0
bobby,986,579.2265579499126,986.0
boney,269,120.42341292952824,109.0
bongo,1004,484.56610366919045,226.0
bonus,444,169.72218986604543,89.0
booby,1399,788.7973209085615,1399.0
boost,772,312.65812463599303,127.0
booth,918,416.88468258590564,161.0
booty,856,388.03436225975537,204.0
booze,813,393.6080372743157,419.0
boozy,1211,675.1007571345369,1211.0
